,states,year,quarter,district,trans_counts,amount
0,andaman-&-nicobar-islands,2018,1,south andaman,5688,12560249.34
1,andaman-&-nicobar-islands,2018,1,nicobars,528,1139848.801
2,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0771
3,andaman-&-nicobar-islands,2018,2,south andaman,9395,23948235.52
4,andaman-&-nicobar-islands,2018,2,nicobars,1120,3072436.908
5,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.083
6,andaman-&-nicobar-islands,2018,3,south andaman,13511,44268112.46
7,andaman-&-nicobar-islands,2018,3,nicobars,1471,6387829.152
8,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518
9,andaman-&-nicobar-islands,2018,4,south andaman,20136,75411840.8
10,andaman-&-nicobar-islands,2018,4,north and middle andaman,2137,7955635.918
11,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.355
12,andaman-&-nicobar-islands,2019,1,south andaman,25683,85501972.39
13,andaman-&-nicobar-islands,2019,1,north and middle andaman,3264,9561708.736
14,andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549
15,andaman-&-nicobar-islands,2019,2,south andaman,28490,102530955.7
16,andaman-&-nicobar-islands,2019,2,north and middle andaman,3371,8612103.138
17,andaman-&-nicobar-islands,2019,2,nicobars,1828,9111650.824
18,andaman-&-nicobar-islands,2019,3,south andaman,27421,91023888.33
19,andaman-&-nicobar-islands,2019,3,north and middle andaman,4049,11481466.28
20,andaman-&-nicobar-islands,2019,3,nicobars,2300,11566421.48
21,andaman-&-nicobar-islands,2019,4,south andaman,27843,110930312.2
22,andaman-&-nicobar-islands,2019,4,north and middle andaman,4716,13524056.78
23,andaman-&-nicobar-islands,2019,4,nicobars,2600,12384161.53
24,andaman-&-nicobar-islands,2020,1,south andaman,32713,134679396.9
25,andaman-&-nicobar-islands,2020,1,north and middle andaman,5674,14697371.62
26,andaman-&-nicobar-islands,2020,1,nicobars,2911,12099543.77
27,andaman-&-nicobar-islands,2020,2,south andaman,48088,132855778.7
28,andaman-&-nicobar-islands,2020,2,north and middle andaman,10979,22447714.06
29,andaman-&-nicobar-islands,2020,2,nicobars,3895,14341508.6
30,andaman-&-nicobar-islands,2020,3,south andaman,95323,282366109.2
31,andaman-&-nicobar-islands,2020,3,north and middle andaman,16747,33486883.37
32,andaman-&-nicobar-islands,2020,3,nicobars,5413,22166453.75
33,andaman-&-nicobar-islands,2020,4,south andaman,186494,523122462.9
34,andaman-&-nicobar-islands,2020,4,north and middle andaman,29349,68941322.39
35,andaman-&-nicobar-islands,2020,4,nicobars,8688,35218871.04
36,andaman-&-nicobar-islands,2021,1,south andaman,207092,669604045.1
37,andaman-&-nicobar-islands,2021,1,north and middle andaman,27358,75027255.28
38,andaman-&-nicobar-islands,2021,1,nicobars,10302,39075266.99
39,andaman-&-nicobar-islands,2021,2,south andaman,286907,760893020.6
40,andaman-&-nicobar-islands,2021,2,north and middle andaman,39200,90233388.79
41,andaman-&-nicobar-islands,2021,2,nicobars,15307,48020606.75
42,andaman-&-nicobar-islands,2021,3,south andaman,382418,1116789011
43,andaman-&-nicobar-islands,2021,3,north and middle andaman,46592,118254865.8
44,andaman-&-nicobar-islands,2021,3,nicobars,20754,74980519.33
45,andaman-&-nicobar-islands,2021,4,south andaman,558571,1694794708
46,andaman-&-nicobar-islands,2021,4,north and middle andaman,53115,156486112.3
47,andaman-&-nicobar-islands,2021,4,nicobars,24437,81329281.03
48,andaman-&-nicobar-islands,2022,1,south andaman,705512,1872991196
49,andaman-&-nicobar-islands,2022,1,north and middle andaman,60059,161624878.5
